Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
100.00      0.01     0.01     8151     1.23     1.23  string_hasher
  0.00      0.01     0.00   214071     0.00     0.04  map_lookup
  0.00      0.01     0.00   193657     0.00     0.00  default_hasher
  0.00      0.01     0.00   181877     0.00     0.00  default_comparator
  0.00      0.01     0.00    95652     0.00     0.04  obj_get_field
  0.00      0.01     0.00    88757     0.00     0.00  parser_next__
  0.00      0.01     0.00    88711     0.00     0.00  queue_peek
  0.00      0.01     0.00    26436     0.00     0.00  set_lookup
  0.00      0.01     0.00    24016     0.00     0.00  node_edge_hasher
  0.00      0.01     0.00    22356     0.00     0.04  obj_set_field
  0.00      0.01     0.00    20321     0.00     0.00  match_merge
  0.00      0.01     0.00    19027     0.00     0.00  node_edge_comparator
  0.00      0.01     0.00    16451     0.00     0.16  memory_graph_set_field
  0.00      0.01     0.00    15693     0.00     0.00  map_insert_helper
  0.00      0.01     0.00    14895     0.00     0.00  create_int
  0.00      0.01     0.00    11079     0.00     0.08  map_insert
  0.00      0.01     0.00    10322     0.00     0.00  queue_remove
  0.00      0.01     0.00    10056     0.00     0.00  token_to_val
  0.00      0.01     0.00     9518     0.00     0.00  expando_get
  0.00      0.01     0.00     8105     0.00     0.29  vm_shift_ip
  0.00      0.01     0.00     7814     0.00     0.51  execute
  0.00      0.01     0.00     7814     0.00     0.00  module_ins
  0.00      0.01     0.00     7800     0.00     0.08  set_insert
  0.00      0.01     0.00     7455     0.00     0.01  string_comparator
  0.00      0.01     0.00     7422     0.00     0.04  strings_intern
  0.00      0.01     0.00     6810     0.00     0.00  string_literal
  0.00      0.01     0.00     6491     0.00     0.00  serialize_module
  0.00      0.01     0.00     6330     0.00     0.00  array_size
  0.00      0.01     0.00     5688     0.00     0.00  queue_last
  0.00      0.01     0.00     5541     0.00     0.00  read_word
  0.00      0.01     0.00     5541     0.00     0.00  resolve_type
  0.00      0.01     0.00     5429     0.00     0.00  queue_add
